mode,task_suite,task_id,task_name,episode,initial_state_id,success,timeout,steps,policy_calls,sampled_action_chunks,avg_h,h_distribution_json,actual_wall_total_ms,policy_rpc_wall_total_ms,actual_episode_elapsed_total_ms,actual_policy_total_ms,actual_server_total_ms,actual_predictor_total_ms,actual_batched_teacher_total_ms,actual_contextual_fusion_total_ms,contextual_fusion_translation_disagreement_mean,contextual_fusion_rotation_disagreement_mean,contextual_fusion_gripper_conflict_rate,contextual_fusion_expert_gate_rate,contextual_fusion_phase_expert_rate,actual_harp_residual_total_ms,actual_harp_gripper_event_total_ms
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,338,338,1,0,259,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1342.6827285438776,1342.6827285438776,6977.8629979118705,1203.1060867011547,1322.1518630161881,71.66497688740492,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,338,338,1,0,259,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1241.0161048173904,1241.0161048173904,6835.872563067824,1127.3127542808652,1222.71219920367,60.444149654358625,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,339,339,1,0,251,11,11,23.636363636363637,"{""20"": 3, ""25"": 8}",1183.407973498106,1183.407973498106,6695.295326877385,1081.6892702132463,1165.8213757909834,54.958606604486704,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,339,339,1,0,252,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1175.9814862161875,1175.9814862161875,6712.495126295835,1078.387735877186,1159.1250076889992,54.89302659407258,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,340,340,1,0,260,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1145.5672169104218,1145.5672169104218,6834.218584932387,1051.3853817246854,1128.9803008548915,52.427024114876986,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,340,340,1,0,260,11,11,24.09090909090909,"{""20"": 2, ""25"": 9}",1187.9814234562218,1187.9814234562218,6812.5384179875255,1087.7356422133744,1170.469970908016,57.64618003740907,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,341,341,1,0,243,10,10,23.5,"{""20"": 3, ""25"": 7}",984.6671004779637,984.6671004779637,6531.429226044565,910.1823922246695,969.0445098094642,41.84114933013916,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,341,341,1,0,238,10,10,24.0,"{""20"": 2, ""25"": 8}",1136.8933296762407,1136.8933296762407,6537.194936070591,1033.0572952516377,1118.7848262488842,56.89710984006524,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_transformer,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,342,342,1,0,256,11,11,23.181818181818183,"{""15"": 1, ""20"": 2, ""25"": 8}",1347.885244525969,1347.885244525969,6926.18928803131,1211.7060800082982,1327.4027714505792,70.14058297500014,nan,nan,nan,nan,nan,nan,nan,nan,nan
ordered_feedback_current,libero_10,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,342,342,1,0,256,11,11,23.181818181818183,"{""15"": 1, ""20"": 2, ""25"": 8}",1341.819065157324,1341.819065157324,6937.689944170415,1208.2645776681602,1320.3216227702796,70.56268164888024,nan,nan,nan,nan,nan,nan,nan,nan,nan
